Name,Symbol,Price,1h,24h,7d,24h Volume,Market Cap,Volume to Market Cap Ratio,Price Category
Ethena USDe,USDE,1.0,0.0,0.0,0.3,45856707.0,5767521745,0.007950851167532096,< $1
Aave,AAVE,328.58,0.0,2.0,0.3,348656981.0,4948529144,0.07045668942310669,"$100-$1,000"
Aptos,APT,8.17,0.4,0.3,12.3,132159494.0,4681433690,0.028230559856546853,$1-$100
Ondo,ONDO,1.43,1.5,0.6,1.6,368608017.0,4508634529,0.08175602050445105,$1-$100
Internet Computer,ICP,9.09,0.7,1.4,15.3,135653524.0,4367906517,0.031056874379530135,$1-$100
MANTRA,OM,4.5,0.8,27.8,16.9,677552907.0,4307888512,0.15728190391014465,$1-$100
WhiteBIT Coin,WBT,28.42,0.0,0.1,4.6,7072674.0,4095852258,0.001726789335769054,$1-$100
Monero,XMR,220.15,0.2,0.3,3.4,41125734.0,4060211009,0.010128964703765227,"$100-$1,000"
Ethereum Classic,ETC,26.76,0.6,1.8,1.8,89159918.0,4031260924,0.02211712902759256,$1-$100
Mantle,MNT,1.18,0.6,2.4,14.1,57004661.0,3959513475,0.014396885213277371,$1-$100
VeChain,VET,0.04708,0.7,2.6,6.5,69862814.0,3820978237,0.018284012539901834,< $1
Cronos,CRO,0.1387,0.6,0.2,0.8,14834973.0,3781091543,0.003923463061206291,< $1
POL (ex-MATIC),POL,0.4346,0.5,0.5,9.7,92374164.0,3684288235,0.025072458534178717,< $1
Bittensor,TAO,445.85,0.5,16.5,5.0,225111068.0,3634473351,0.0619377407012937,"$100-$1,000"
Render,RENDER,6.92,0.8,1.0,5.3,97668693.0,3587941478,0.02722137292340753,$1-$100
Dai,DAI,1.0,0.0,0.0,0.1,156458831.0,3582203026,0.04367670672611396,< $1
Kaspa,KAS,0.1319,0.4,1.7,0.4,39581914.0,3378829357,0.011714682754841473,< $1
Algorand,ALGO,0.3982,0.7,0.9,7.5,134601762.0,3342707933,0.04026728170630156,< $1
OKB,OKB,54.69,0.1,0.2,6.0,8111853.0,3281452938,0.002472030881827628,$1-$100
Gate,GT,25.25,0.5,0.0,25.0,28238257.0,3172008900,0.008902325904571075,$1-$100
Artificial Superintelligence Alliance,FET,1.21,0.4,0.4,4.4,137154235.0,3151057389,0.04352641607823157,$1-$100
Filecoin,FIL,5.02,0.3,0.8,6.9,134798507.0,3130956827,0.04305345440651137,$1-$100
Arbitrum,ARB,0.7032,0.5,0.2,8.7,148563499.0,3056982374,0.048598088187733854,< $1
Cosmos Hub,ATOM,6.2,0.0,0.9,3.8,121436109.0,2687069249,0.045192772402569366,$1-$100
Jupiter,JUP,1.24,4.0,26.5,17.9,1514922165.0,2676953085,0.5659128557346383,$1-$100
Ethena,ENA,0.8287,0.8,4.0,8.3,333967921.0,2513563215,0.13286633055695796,< $1
Tokenize Xchange,TKX,31.0,1.6,2.8,8.9,21297444.0,2479576147,0.008589146990209372,$1-$100
Coinbase Wrapped BTC,CBBTC,104943.0,0.0,0.0,0.6,179476166.0,2436880385,0.07364996948752575,"> $10,000"
Virtuals Protocol,VIRTUAL,2.4,2.2,7.2,17.5,175644144.0,2403446379,0.07308011759059094,$1-$100
Celestia,TIA,4.57,0.6,1.2,5.4,54460124.0,2305858731,0.023618152867665856,$1-$100
Raydium,RAY,7.73,0.9,1.1,15.0,122141634.0,2250800418,0.05426586605512173,$1-$100
Bonk,BONK,2.894e-05,0.7,4.2,13.7,138172258.0,2218936523,0.06226958570819829,< $1
Optimism,OP,1.62,0.7,4.1,13.1,136734200.0,2187478039,0.06250769039149197,$1-$100
Immutable,IMX,1.23,0.4,0.3,4.7,33039079.0,2143373744,0.015414520725789015,$1-$100
Stacks,STX,1.39,0.8,0.8,8.7,23705663.0,2101238021,0.011281759973445674,$1-$100
Injective,INJ,20.93,0.9,0.3,8.5,81089843.0,2048424786,0.039586439079535726,$1-$100
Binance-Peg WETH,WETH,3307.83,0.2,1.0,1.7,34778096.0,2001966837,0.01737196408913341,"$1,000-$10,000"
Theta Network,THETA,2.0,0.8,0.4,8.2,13879361.0,2000012547,0.006939636964187505,$1-$100
Binance Staked SOL,BNSOL,261.6,0.5,0.3,5.3,9767584.0,1984565194,0.004921775323648047,"$100-$1,000"
Worldcoin,WLD,2.07,1.3,4.5,2.0,188145842.0,1971781724,0.09541920371303736,$1-$100
Lido DAO,LDO,2.16,0.0,7.5,22.7,240152892.0,1935325548,0.12408914471685567,$1-$100
Lombard Staked BTC,LBTC,105005.0,0.2,0.0,0.6,8304088.0,1879537022,0.004418156121853715,"> $10,000"
Kelp DAO Restaked ETH,RSETH,3422.9,0.0,0.9,1.5,1815469.0,1860099008,0.0009760066492116532,"$1,000-$10,000"
First Digital USD,FDUSD,0.9995,0.1,0.1,0.3,3024109611.0,1836678426,1.6465101174983803,< $1
The Graph,GRT,0.1884,0.2,1.3,11.7,76086331.0,1800478968,0.042258939066929437,< $1
Sonic (prev. FTM),S,0.5365,0.8,1.1,14.0,105107147.0,1703505431,0.06170050596099332,< $1
Rocket Pool ETH,RETH,3702.96,0.0,0.9,1.5,15233679.0,1688201255,0.009023615493047362,"$1,000-$10,000"
Fasttoken,FTN,3.91,0.0,0.0,2.3,52992168.0,1674143937,0.03165329266428541,$1-$100
XDC Network,XDC,0.1063,0.2,5.2,19.9,51298585.0,1667226745,0.030768811233291487,< $1
KuCoin,KCS,13.36,0.1,2.1,21.9,94065.06,1641236283,5.731353917429816e-05,$1-$100
Pudgy Penguins,PENGU,0.02581,1.5,14.7,9.3,277637454.0,1620959417,0.17127970699836467,< $1
Movement,MOVE,0.6992,1.3,1.7,8.9,107339341.0,1609166357,0.06670493733172175,< $1
Sei,SEI,0.353,0.3,1.7,6.5,75907788.0,1566191924,0.04846646623367469,< $1
Mantle Staked Ether,METH,3490.56,0.1,1.0,1.3,15885559.0,1547638502,0.010264386017452543,"$1,000-$10,000"
Quant,QNT,105.89,1.0,4.1,5.2,36377082.0,1540831050,0.02360874152944932,"$100-$1,000"
sUSDS,SUSDS,1.03,0.0,0.1,0.6,1832867.0,1524118310,0.0012025752777682988,$1-$100
Flare,FLR,0.0259,0.7,2.1,8.0,9308050.0,1482712954,0.006277715437023153,< $1
Onyxcoin,XCN,0.04572,2.4,70.9,347.1,1275045204.0,1455684239,0.8759078169836528,< $1
NEXO,NEXO,1.44,0.0,0.2,3.4,9778686.0,1436235003,0.0068085556887099484,$1-$100
Solv Protocol SolvBTC,SOLVBTC,104412.0,0.3,0.0,0.2,9715408.0,1407607969,0.006902069478124701,"> $10,000"
GALA,GALA,0.0325,0.7,0.6,11.7,70239019.0,1385056673,0.05071201804895387,< $1
Marinade Staked SOL,MSOL,320.01,0.7,0.3,5.3,29644040.0,1369044679,0.021653084413324687,"$100-$1,000"
The Sandbox,SAND,0.5537,0.8,1.0,9.0,56792841.0,1358989022,0.04179050756158353,< $1
JasmyCoin,JASMY,0.02801,1.4,2.0,6.3,82376600.0,1358200557,0.060651278322219095,< $1
FLOKI,FLOKI,0.000137,0.5,1.3,12.9,136756565.0,1325388708,0.10318223188000784,< $1
dogwifhat,WIF,1.28,1.0,2.9,21.2,167055884.0,1279175650,0.13059651659254146,$1-$100
Fartcoin,FARTCOIN,1.28,5.3,1.2,38.1,194292729.0,1277482659,0.15209030637808446,$1-$100
Usual USD,USD0,0.9981,0.1,0.1,0.2,18557693.0,1232871900,0.015052409743461588,< $1
EOS,EOS,0.7954,1.1,1.6,9.3,111553925.0,1206572289,0.09245523539452015,< $1
Kaia,KAIA,0.2051,0.3,1.6,8.6,10420076.0,1200952120,0.008676512432485652,< $1
Tezos,XTZ,1.16,0.8,1.1,11.2,29016587.0,1189542490,0.0243930647655974,$1-$100
IOTA,IOTA,0.3266,1.2,0.1,8.3,22390929.0,1179796926,0.01897862971716202,< $1
Pyth Network,PYTH,0.3205,0.8,0.4,7.4,47245336.0,1162028162,0.04065765146232316,< $1
DeXe,DEXE,20.04,0.7,3.5,13.0,25783531.0,1144359698,0.02253096735673402,$1-$100
Ethereum Name Service,ENS,33.86,0.6,2.2,6.3,51706543.0,1123470838,0.04602392981739327,$1-$100
SPX6900,SPX,1.21,0.9,0.2,15.1,30250501.0,1123188333,0.02693270586171589,$1-$100
Maker,MKR,1230.59,0.4,1.4,9.0,141249646.0,1095562464,0.12892888414986806,"$1,000-$10,000"
Solv Protocol SolvBTC.BBN,SOLVBTC.BBN,103761.0,0.4,0.2,0.2,6022333.0,1079884684,0.005576829720088891,"> $10,000"
Flow,FLOW,0.682,0.6,0.7,8.2,20672672.0,1063811635,0.019432643261135227,< $1
BitTorrent,BTT,0.051072,0.3,0.4,3.2,25851020.0,1038066432,0.024903049750095378,< $1
Bitcoin SV,BSV,51.83,0.5,1.3,5.6,20486711.0,1027071960,0.019946714347064836,$1-$100
Curve DAO,CRV,0.8041,1.0,2.7,13.8,127238791.0,1024774702,0.12416269717790125,< $1
AIOZ Network,AIOZ,0.8681,9.8,9.0,5.1,51579857.0,996111631,0.05178120141837798,< $1
NEO,NEO,14.1,0.9,0.3,8.6,18810498.0,994056307,0.018922970326267444,$1-$100
Jupiter Staked SOL,JUPSOL,274.78,0.7,0.0,5.1,16142838.0,979947753,0.016473161911520807,"$100-$1,000"
Arweave,AR,14.63,0.9,0.1,11.8,23645659.0,957811054,0.024687185328725596,$1-$100
Renzo Restaked ETH,EZETH,3420.26,0.0,0.9,1.4,3568818.0,926010739,0.003853970423554667,"$1,000-$10,000"
Beam,BEAM,0.01756,0.4,5.3,23.1,50877430.0,923148821,0.05511292311990073,< $1
Starknet,STRK,0.3767,0.4,1.3,9.9,48886178.0,911086893,0.05365698746804384,< $1
Axie Infinity,AXS,5.75,0.6,0.1,8.4,29820190.0,907947231,0.03284352766532089,$1-$100
THORChain,RUNE,2.57,0.7,2.7,28.8,536713089.0,904042325,0.5936813732697748,$1-$100
Binance-Peg Dogecoin,DOGE,0.3502,0.2,2.0,9.0,1289382.0,901135341,0.0014308416742030762,< $1
ai16z,AI16Z,0.8154,1.2,2.2,22.2,123472232.0,897243282,0.13761287989225646,< $1
Jito,JTO,3.08,1.6,8.1,0.5,68380596.0,882291228,0.07750342951386568,$1-$100
Decentraland,MANA,0.4707,0.8,1.1,7.3,52267124.0,879231744,0.059446356841274375,< $1
Arbitrum Bridged WBTC (Arbitrum One),WBTC,104533.0,0.2,0.2,0.9,61250034.0,857467705,0.07143130131064236,"> $10,000"
ether.fi Staked ETH,EETH,3300.02,0.2,0.1,1.3,120655.0,849703623,0.00014199657002050936,"$1,000-$10,000"
MultiversX,EGLD,30.48,0.7,0.0,12.1,16650967.0,849378441,0.01960370807198296,$1-$100
Wrapped BNB,WBNB,683.67,0.2,0.6,1.5,68026495.0,839647748,0.0810178972813728,"$100-$1,000"
dYdX,DYDX,1.16,0.5,1.0,9.9,23635982.0,837880248,0.02820926028083192,$1-$100
Brett,BRETT,0.08415,1.1,4.9,20.4,31708678.0,833773032,0.03803034732838421,< $1
Polygon,MATIC,0.4351,0.4,0.5,9.5,4673713.0,816247780,0.005725850794963265,< $1
Toshi,TOSHI,0.001852,15.1,81.0,295.1,1306765708.0,803540324,1.6262602746492658,< $1
Core,CORE,0.8405,0.9,0.2,7.8,26132129.0,786194151,0.033238773103006714,< $1
Aerodrome Finance,AERO,0.9937,0.5,2.1,17.9,34112851.0,749771951,0.04549763558706399,< $1
USDD,USDD,0.9986,0.1,0.1,0.1,8891862.0,747619953,0.011893558972468998,< $1
Mantle Restaked ETH,CMETH,3491.44,0.1,1.0,1.6,5027026.0,742687634,0.0067686948992609726,"$1,000-$10,000"
Zcash,ZEC,46.14,0.6,0.8,9.0,101608085.0,731674668,0.13887057929412966,$1-$100
L2 Standard Bridged WETH (Base),WETH,3308.76,0.1,1.0,1.5,619576995.0,730436452,0.8482284712154535,"$1,000-$10,000"
Conflux,CFX,0.1493,1.0,0.8,7.6,33118980.0,720969579,0.04593672321921921,< $1
ApeCoin,APE,0.9981,0.4,0.7,8.8,66211389.0,720084260,0.09194950185413024,< $1
Arbitrum Bridged WETH (Arbitrum One),WETH,3309.86,0.0,0.9,1.0,65596097.0,706761298,0.09281223686925766,"$1,000-$10,000"
Chiliz,CHZ,0.07502,0.9,1.3,8.4,35134214.0,702677397,0.05000048976956064,< $1
Reserve Rights,RSR,0.01278,0.1,1.5,14.1,38547444.0,701557609,0.05494551481658864,< $1
Ether.fi Staked BTC,EBTC,104817.0,0.2,0.6,1.1,1801998.0,689770045,0.002612461954621413,"> $10,000"
Helium,HNT,3.88,0.0,1.7,27.9,10532230.0,687390852,0.015322039810910954,$1-$100
Akash Network,AKT,2.77,0.2,0.2,7.6,5671287.0,685312280,0.008275478443199646,$1-$100
Tether Gold,XAUT,2759.07,0.0,0.3,2.6,4520420.0,680154929,0.0066461622304879306,"$1,000-$10,000"
Morpho,MORPHO,3.09,1.1,3.8,13.8,51473171.0,670506658,0.07676757625872822,$1-$100
Compound,COMP,74.86,0.7,0.3,12.3,42251495.0,664013391,0.06363048633156256,$1-$100
eCash,XEC,3.34e-05,0.3,1.1,5.0,29112227.0,663001096,0.04390977205865735,< $1
Wormhole,W,0.23,0.5,0.4,7.8,32702213.0,651430080,0.05020064931604018,< $1
Amp,AMP,0.007701,0.7,1.8,2.6,58959895.0,648698202,0.09088956130635306,< $1
Frax,FRAX,0.997,0.1,0.0,0.3,3890235.0,647491145,0.006008167107829714,< $1
Eigenlayer,EIGEN,2.75,0.5,2.6,10.3,73276599.0,645703196,0.1134834076305238,$1-$100
Pendle,PENDLE,3.84,0.7,1.9,5.8,70105596.0,632214456,0.11088894810086405,$1-$100
MEOW,MEOW,0.006979,0.2,7.8,0.8,1000977.0,628130542,0.0015935811635792102,< $1
usdx.money USDX,USDX,0.9991,0.0,0.1,0.2,311659.0,623720823,0.000499677080686466,< $1
Ronin,RON,1.61,0.4,1.2,8.2,17117390.0,613559080,0.02789851956880827,$1-$100
pumpBTC,PUMPBTC,101582.0,0.2,0.9,2.2,11779.89,609239151,1.9335412014583414e-05,"> $10,000"
Ultima,ULTIMA,14018.08,0.0,0.1,47.1,4283504.0,605234165,0.007077432583469574,"> $10,000"
Mina Protocol,MINA,0.4992,0.1,1.5,10.3,20271192.0,604369160,0.033541076119767595,< $1
PancakeSwap,CAKE,2.06,0.4,2.5,10.4,38826232.0,598388162,0.06488469268882362,$1-$100
Gigachad,GIGA,0.06187,2.3,0.4,16.0,21627053.0,594490318,0.03637915092168078,< $1
Gnosis,GNO,228.14,0.3,0.3,6.8,8205543.0,590783156,0.013889263626872936,"$100-$1,000"
DeepBook,DEEP,0.2343,1.1,10.6,15.3,34906648.0,585934377,0.05957433011308022,< $1
Resolv USR,USR,1.0,0.2,0.1,0.2,21840762.0,584636667,0.03735783818020432,< $1
Axelar,AXL,0.635,0.7,0.2,0.5,10502123.0,574058522,0.018294516321107762,< $1
ZKsync,ZK,0.1541,0.5,0.4,12.0,41970072.0,566370934,0.07410350616615506,< $1
Newton Project,NEW,0.0134,1.9,57.7,1049.9,16612636.0,566180680,0.02934158050041552,< $1
PAX Gold,PAXG,2770.72,0.1,0.1,3.4,10322512.0,562641699,0.018346510787143062,"$1,000-$10,000"
Synthetix Network,SNX,1.61,0.3,0.6,9.1,33171126.0,545720002,0.06078414915786796,$1-$100
Beldex,BDX,0.07866,0.6,0.3,0.4,4965689.0,544103633,0.009126366189876185,< $1
Avalanche Bridged BTC (Avalanche),BTC.B,104965.0,0.0,0.3,0.0,26033694.0,540108361,0.0482008720468595,"> $10,000"
Echelon Prime,PRIME,10.18,1.0,2.3,24.8,8005825.0,537373596,0.014898061720174282,$1-$100
Coinbase Wrapped Staked ETH,CBETH,3596.39,0.1,0.9,2.0,8130713.0,533577163,0.015238120301636673,"$1,000-$10,000"
Telcoin,TEL,0.006798,1.4,0.3,3.4,2409967.0,528908061,0.0045564951221267165,< $1
Mog Coin,MOG,0.051344,0.5,8.8,26.4,26533338.0,521598166,0.050869308463020936,< $1
INSURANCE,INSURANCE,27.85,0.0,1.3,9.5,50421.17,520763124,9.682169815080839e-05,$1-$100
dYdX,ETHDYDX,1.16,0.6,0.8,9.7,44628083.0,520326813,0.08576933166809529,$1-$100
Notcoin,NOT,0.005057,0.6,1.6,10.0,27055635.0,518083102,0.05222257760493412,< $1
StakeStone Berachain Vault Token,BERASTONE,3309.47,0.1,0.8,1.6,6505576.0,516928372,0.012585062752175653,"$1,000-$10,000"
aixbt by Virtuals,AIXBT,0.6033,0.7,6.5,16.4,138102095.0,516303671,0.26748230306501153,< $1
Snek,SNEK,0.00692,0.8,0.7,13.3,2645745.0,514489656,0.005142464905067013,< $1
CHEX Token,CHEX,0.5064,0.7,0.3,1.7,1820442.0,505990683,0.0035977777084879644,< $1
Grass,GRASS,2.06,0.8,0.9,17.1,28665461.0,502281359,0.057070525287003536,$1-$100
APENFT,NFT,0.06505,0.2,1.2,2.9,26621245.0,499997023,0.05324280700767292,< $1
Kava,KAVA,0.458,0.9,0.9,4.5,14734550.0,496000791,0.029706706657248054,< $1
TrueUSD,TUSD,0.9982,0.1,0.1,0.3,23825602.0,494584943,0.04817292223956765,< $1
PayPal USD,PYUSD,0.9999,0.1,0.1,0.0,13002370.0,486581670,0.026721865622270562,< $1
Frax Ether,FRXETH,3300.95,0.0,0.8,1.4,1814253.0,473102574,0.003834798413081557,"$1,000-$10,000"
Polygon PoS Bridged WETH (Polygon POS),WETH,3315.62,0.0,0.7,1.7,16954920.0,472385996,0.03589208855378515,"$1,000-$10,000"
tBTC,TBTC,104990.0,0.3,0.1,0.5,7728461.0,465854157,0.016589872353548623,"> $10,000"
VeThor,VTHO,0.005405,0.3,1.2,114.1,137955928.0,461405536,0.29899062156029266,< $1
SuperVerse,SUPER,1.01,0.7,1.1,14.0,19651438.0,455355456,0.043156259008347096,$1-$100
Trust Wallet,TWT,1.08,0.4,4.0,8.0,15054737.0,451810391,0.03332091802200273,$1-$100
Safe,SAFE,0.855,1.3,4.3,4.9,29657764.0,451654725,0.0656646822415065,< $1
Terra Luna Classic,LUNC,8.189e-05,0.5,0.2,11.7,14247846.0,450790960,0.03160632591212566,< $1
Livepeer,LPT,11.96,0.9,0.4,11.2,27115538.0,449963598,0.06026162587490022,$1-$100
1inch,1INCH,0.3214,0.5,2.9,11.3,24801042.0,449372911,0.05519033611707849,< $1
Kusama,KSM,27.68,0.9,1.0,7.7,9451566.0,443660328,0.021303608647199126,$1-$100
Stader ETHx,ETHX,3473.24,0.4,0.9,1.6,253775.0,442514005,0.0005734846742308189,"$1,000-$10,000"
Arkham,ARKM,1.26,0.7,1.8,7.9,47228270.0,441749408,0.10691190332053598,$1-$100
Oasis,ROSE,0.0656,0.9,2.3,12.9,25449900.0,441466693,0.057648516645852604,< $1
Theta Fuel,TFUEL,0.0639,0.8,1.0,2.5,4167083.0,435758173,0.009562833833526284,< $1
Blur,BLUR,0.2008,0.6,2.4,6.8,19430898.0,434803451,0.04468892313368506,< $1
cat in a dogs world,MEW,0.004891,1.0,1.1,18.4,17548038.0,434082696,0.04042556444129715,< $1
Swell Ethereum,SWETH,3572.56,0.0,0.8,1.6,1051369.0,433433760,0.0024256739945683974,"$1,000-$10,000"
QuantixAI,QAI,88.47,0.1,0.1,0.0,1796308.0,429062183,0.004186591294157472,$1-$100
ORDI,ORDI,20.3,0.6,2.1,11.7,47946825.0,426735227,0.11235731658966135,$1-$100
LayerZero,ZRO,3.83,0.9,2.7,15.3,34887812.0,426161471,0.08186524210678821,$1-$100
Creditcoin,CTC,1.02,0.4,0.4,5.5,6393829.0,424584598,0.015059022466000993,$1-$100
Nervos Network,CKB,0.009324,0.7,0.2,8.7,16148401.0,424396395,0.03805027844310506,< $1
Dash,DASH,34.93,0.4,1.6,9.9,31434384.0,423416449,0.07423987441734933,$1-$100
Bridged USDC (Polygon PoS Bridge),USDC.E,0.9999,0.0,0.0,0.1,13580648.0,421832388,0.032194417466114525,< $1
io.net,IO,3.12,0.6,1.1,4.0,94967203.0,421701561,0.2252000271822565,$1-$100
Popcat,POPCAT,0.4309,0.5,5.4,18.6,40783206.0,420690789,0.09694342511501958,< $1
Vine,VINE,0.4253,4.4,25.7,,1035598300.0,418703548,2.473344935687051,< $1
Super OETH,SUPEROETHB,3310.46,0.1,0.9,2.2,373247.0,416912972,0.0008952635803330197,"$1,000-$10,000"
Solayer Staked SOL,SSOL,268.16,0.5,0.3,0.3,3755428.0,413538777,0.009081199173735526,"$100-$1,000"
USDB,USDB,0.9998,0.1,0.1,1.1,411186.0,405604398,0.0010137611969385006,< $1
Hashnote USYC,USYC,1.07,0.0,0.1,0.0,39748.98,403426144,9.852851777499081e-05,$1-$100
Turbo,TURBO,0.005825,1.1,1.6,20.2,47606829.0,402502268,0.11827716955870668,< $1
Astar,ASTR,0.05336,0.6,0.1,7.8,8156456.0,400346894,0.020373471412519564,< $1
Bio Protocol,BIO,0.2465,0.7,1.2,16.6,43590471.0,400273660,0.1089016724208133,< $1
Holo,HOT,0.002211,1.0,0.8,9.4,11119459.0,392896403,0.028301249171782315,< $1
GRIFFAIN,GRIFFAIN,0.3869,5.1,10.5,26.8,56579736.0,386673668,0.14632425397014623,< $1
Zilliqa,ZIL,0.01977,0.8,0.9,8.3,15121579.0,384450584,0.03933295884914041,< $1
Dog (Bitcoin),DOG,0.003844,0.9,4.6,16.7,10506116.0,384219934,0.02734401594062009,< $1
AgentFun.AI,AGENTFUN,3.83,1.0,0.2,3.3,48817.96,382596668,0.0001275964065635825,$1-$100
Melania Meme,MELANIA,2.55,2.4,4.8,,200995198.0,382298960,0.5257539753704797,$1-$100
0x Protocol,ZRX,0.45,0.8,2.8,8.9,47732562.0,381764158,0.1250315436893371,< $1
Ether.fi,ETHFI,1.73,0.6,0.6,11.9,44120725.0,378688510,0.11650927829840943,$1-$100
Ondo US Dollar Yield,USDY,1.07,0.1,0.0,1.3,1087362.0,378582425,0.0028721935520382384,$1-$100
JUST,JST,0.0382,0.2,1.2,1.0,39058170.0,378200519,0.10327370809345716,< $1
OriginTrail,TRAC,0.7434,0.2,0.4,7.1,3153242.0,371621616,0.0084850876919926,< $1
Verus,VRSC,4.73,0.1,1.5,1.3,7035.8,370801948,1.897454972377869e-05,$1-$100
MX,MX,3.9,0.5,0.0,5.5,42226431.0,369902169,0.1141556728746838,$1-$100
Baby Doge Coin,BABYDOGE,0.082227,1.3,0.2,10.0,17737253.0,368480313,0.0481362297366481,< $1
Olympus,OHM,22.49,0.0,1.0,0.3,428359.0,368352152,0.001162906196350931,$1-$100
Binance-Peg BUSD,BUSD,0.9988,0.2,0.1,0.2,3289199.0,367558134,0.008948785772212023,< $1
Liquid Staked ETH,LSETH,3530.0,0.0,1.0,1.8,17007.98,365295620,4.6559496114407286e-05,"$1,000-$10,000"
cWBTC,CWBTC,2106.37,0.1,0.0,0.2,0.0,364818348,0.0,"$1,000-$10,000"
Freysa AI,FAI,0.04451,0.5,1.5,22.4,2852458.0,364509374,0.007825472274411247,< $1
Polygon Bridged WBTC (Polygon POS),WBTC,104836.0,0.0,0.0,0.2,3851520.0,351046724,0.010971530957799224,"> $10,000"
Basic Attention,BAT,0.2347,1.2,3.4,5.0,53364450.0,350970160,0.15204839636509268,< $1
Aethir,ATH,0.0566,0.6,0.3,7.9,18321732.0,349075640,0.052486423859310266,< $1
Staked Frax Ether,SFRXETH,3668.18,0.0,0.7,1.2,14148.91,345783323,4.091842798329519e-05,"$1,000-$10,000"
Golem,GLM,0.3436,0.8,0.9,6.8,13276257.0,343613598,0.03863716999930835,< $1
MimbleWimbleCoin,MWC,31.27,0.1,3.8,19.4,16497.65,343155766,4.8076272161488325e-05,$1-$100
SwissBorg,BORG,0.3452,0.2,2.1,0.6,1526582.0,339427169,0.004497524474830711,< $1
SafePal,SFP,0.6943,0.6,2.3,2.4,8341123.0,338508789,0.02464078709637285,< $1
BENQI Liquid Staked AVAX,SAVAX,44.49,0.5,2.1,2.3,2817431.0,333119715,0.008457713167772133,$1-$100
Akuma Inu,AKUMA,0.0004911,0.2,6.2,6.8,8103392.0,327624781,0.024733757853316964,< $1
