Coin,Price,1h,24h,7d,24h Volume,Market Cap
"Linear
LINA",0.003814,0.6,1.3,13.0,6307465.0,28666468
"Everclear
CLEAR",0.05444,0.6,3.5,25.5,48556.73,28663727
"Measurable Data
MDT",0.04718,0.2,1.9,0.3,8398522.0,28635029
"APX
APX",0.06586,1.0,4.4,5.3,603550.0,28622595
"ZND Token
ZND",0.4595,0.0,2.9,7.6,2164326.0,28623673
"Hanu Yokia
HANU",0.061908,0.4,0.1,9.4,435.89,28607083
"Neiro on ETH
NEIRO",0.02854,0.3,0.4,22.9,4338252.0,28581500
"cDAI
CDAI",0.02426,0.0,0.0,0.4,330.18,28563961
"Elon Trump Fart
ETF500",0.02826,8.4,76.1,460.5,8972042.0,28483583
"Reef
REEF",0.0007322,1.7,1.9,19.3,6220190.0,28438138
"Ekubo Protocol
EKUBO",2.84,0.0,1.7,3.0,65105.77,28384786
"Bityuan
BTY",0.04281,0.2,0.3,12.5,393095.0,28385316
"Ribbon Finance
RBN",0.2908,0.5,0.4,13.3,90231.17,28384490
"Saros
SAROS",0.01082,0.2,8.8,30.7,246694.0,28364866
"Hydration
HDX",0.00752,0.3,0.3,0.4,45445.29,28266958
"FARM
FARM",23.56,0.9,0.6,37.4,1395949.0,28238559
"Pixer Eternity
PXT",0.01308,0.0,2.5,45.2,215206.0,28145687
"UniLend Finance
UFT",0.2814,0.1,2.1,5.5,2022535.0,28141429
"Synternet
SYNT",0.0354,1.3,4.3,10.5,2761527.0,27901335
"Plxyer
PLXY",0.02052,,,,35.33,27906150
"Brickken
BKN",0.3899,2.5,13.1,3.3,3840026.0,27843092
"OHO Blockchain
OHO",0.001153,0.2,0.0,0.3,187069.0,27823641
"RAMP [OLD]
RAMP",0.06728,0.5,2.3,0.4,796.75,27757921
"My Lovely Coin
MLC",0.6032,2.5,0.3,21.7,203768.0,27726600
"PinkSale
PINKSALE",277.88,,,,13.42,27788142
"TokenPocket Token
TPT",0.007977,0.5,1.7,6.0,66722.93,27652535
"GXChain
GXC",0.368,4.1,12.1,0.7,9277.16,27603380
"Harvest Finance
FARM",41.05,0.1,2.0,5.7,1702674.0,27589159
"MAI
MIMATIC",0.9976,0.0,0.2,0.5,94823.57,27498227
"Cloud
CLOUD",0.1522,3.0,1.6,14.7,5261121.0,27477350
"Lumoz
MOZ",0.02491,0.1,6.2,24.5,1675098.0,27391242
"Aura BAL
AURABAL",7.49,0.1,4.6,7.6,4.66,27385263
"MEOW
MEOW",0.0182,0.6,1.6,14.9,38103.82,27370818
"Penumbra
UM",0.7611,0.1,0.0,10.9,3868.25,27357614
"Frax Price Index Share
FPIS",0.8547,,,,156.82,27422016
"Base God
TYBG",0.0002224,10.1,60.2,61.9,1865019.0,27335908
"Propchain
PROPC",1.07,0.7,7.4,13.2,2050897.0,27336934
"BTC Proxy
BTCPX",103619.0,,,,6.45,27329396
"Bertram The Pomeranian
BERT",0.02794,4.4,1.3,34.9,2044398.0,27273094
"LUKSO [OLD]
LYXE",1.74,2.1,4.3,10.8,7632.13,27181540
"AXOL
AXOL",0.02709,0.7,5.4,12.3,491713.0,27130698
"PIXL
PIXL",0.05426,2.0,5.4,21.0,18351.1,27124404
"A3S
AA",0.1128,0.3,8.2,26.1,2883244.0,27103611
"Based ETH
BSDETH",3368.02,0.1,0.8,2.2,383521.0,26988381
"Ren
REN",0.02694,0.6,0.6,6.3,1002342.0,26932701
"Frontier
FRONT",0.2986,0.1,1.6,28.1,4569.23,26872291
"STUFF.io
STUFF",0.01417,0.6,1.0,11.7,39724.54,26853681
"Tectum
TET",3.31,0.2,4.8,20.2,551627.0,26806204
"Streamr XDATA
XDATA",0.03829,0.7,3.3,12.4,410.42,26688868
"Streamr
DATA",0.03476,0.4,2.8,10.3,6130549.0,26686643
"Euro Tether
EURT",1.04,0.2,0.2,0.9,1621060.0,26638379
"AscendEx
ASD",0.0352,0.2,1.4,6.0,1225764.0,26612846
"FIO Protocol
FIO",0.03309,0.7,3.7,8.2,6729250.0,26597413
"Indigo Protocol
INDY",1.65,0.5,0.0,8.4,16339.54,26531885
"MUMU THE BULL
MUMU",1.136e-05,0.1,4.4,21.7,2336500.0,26456555
"AMO Coin
AMO",0.001247,0.2,13.0,48.9,10359336.0,26460569
"META
META",1258.49,1.9,0.2,10.6,62781.13,26284791
"Foom
FOOM",0.0615,1.2,0.5,2.1,71831.08,26251481
"Nacho the Kat
NACHO",9.037e-05,0.1,6.5,6.2,196442.0,26240263
"Hathor
HTR",0.0568,3.5,4.4,6.6,544674.0,26184375
"VeraOne
VRO",88.39,0.1,0.1,11.5,30941.56,26146099
"ECOx
ECOX",0.0605,0.6,6.3,4.6,67241.6,26091464
"Klever
KLV",0.002878,1.0,5.3,16.1,774471.0,25995281
"Karate Combat
KARATE",0.0004636,0.2,4.0,0.9,215827.0,25973251
"XEN Crypto
XEN",0.061488,4.5,5.7,33.4,2955288.0,25939545
"COMBO
COMBO",0.3642,0.6,0.5,11.8,6106040.0,25873993
"FOMO
FOMO",0.0002569,0.5,8.2,19.5,4988287.0,25756407
"GameSwift
GSWIFT",0.06104,0.6,0.2,0.6,179545.0,25753514
"CrossFi
XFI",0.6081,0.1,0.2,10.7,287210571.0,25696427
"Schizo Terminal
SCHIZO",0.02559,1.4,18.9,35.7,2092737.0,25623585
"Cronos zkEVM CRO
ZKCRO",0.1453,0.2,1.4,1.1,344.71,25568707
"Quickswap [OLD]
QUICK",33.84,0.4,0.7,17.4,13205.61,25499675
"Tokocrypto
TKO",0.3392,1.3,3.3,8.6,2256112.0,25474754
"Flayer
FLAY",0.04228,0.3,0.3,8.4,3490.38,25393909
"Connex
CONX",22.04,0.1,0.1,0.4,155899.0,25348838
"MakerDAO Arbitrum Bridged DAI (Arbitrum One)
DAI",0.9981,0.2,0.0,0.1,984903.0,25294035
"Tri Sigma
TRISIG",0.02544,1.2,30.2,17.9,8153390.0,25285636
"MemeFi
MEMEFI",0.002521,3.1,1.7,13.8,4721146.0,25187887
"AdEx
ADX",0.1744,0.8,0.8,6.0,3967605.0,25146581
"Grok
$GROK",0.003972,0.2,0.4,3.7,5299524.0,25112727
"Quiztok
QTCON",0.002317,0.8,9.6,49.4,16266742.0,25064688
"Level USD
LVLUSD",0.9998,0.0,0.0,0.0,97972.77,24935953
"Samoyedcoin
SAMO",0.005235,0.6,1.8,15.2,1141458.0,24912115
"Kin
KIN",0.059251,0.1,6.1,7.4,274643.0,24771825
"Moon Tropica
CAH",8.8,4.7,1.0,1.8,79280.53,24727083
"crow with knife
CAW",0.073215,0.6,0.5,2.1,224963.0,24708541
"Hoppy
HOPPY",5.869e-05,0.5,1.4,5.8,7069193.0,24695267
"Sentio Protocol
SEN",0.2473,0.8,5.3,16.5,1010173.0,24650884
"Spectre AI
SPECTRE",2.46,0.2,0.7,23.5,75945.46,24598642
"Quickswap
QUICK",0.03272,0.5,1.5,17.3,5413521.0,24536299
"StrikeX
STRX",0.02918,1.9,1.5,6.2,4900.17,24493055
"Acet
ACT",0.01116,0.4,0.3,6.0,80247.98,24484604
"MetaMUI
MMUI",0.05125,0.3,1.2,2.3,469320.0,24407196
"Law Blocks
LBT",0.1128,0.2,0.2,0.3,93356.88,24247463
"AstraAI
ASTRA",2.42,0.7,12.2,7.7,318783.0,24228332
"PAID
PAID",0.05275,1.2,9.3,14.9,48424.68,24197523
"Gyroscope GYD
GYD",0.9993,0.1,0.2,0.0,10252094.0,24192657
"SUKU
SUKU",0.06214,1.6,0.7,4.2,2642767.0,24137587
"Adshares
ADS",0.6208,0.0,1.5,3.6,5474.66,24109642
"Beefy
BIFI",301.23,0.0,1.0,3.8,375994.0,24099064
"Wing Finance
WING",4.99,0.4,1.5,5.5,613699.0,24044432
"Stride Staked Atom
STATOM",9.28,0.1,0.8,2.9,808183.0,23906564
"Kendu Inu
KENDU",2.389e-05,1.4,7.8,138.9,952503.0,23777819
"Iron Fish
IRON",0.4203,0.9,21.9,1.6,379722.0,23751119
"RARI
RARI",2.05,0.3,4.8,0.5,475510.0,23703138
"Zero1 Labs
DEAI",0.2427,0.0,2.1,8.1,1824640.0,23674567
"BOB
BOB",1.12,2.6,1.9,8.3,113679.0,23631923
"Self Chain
SLF",0.2436,0.2,1.9,7.3,8106622.0,23614058
"mETH Protocol
COOK",0.02461,0.0,0.7,1.6,804036.0,23616439
"Firo
FIRO",1.6,0.5,0.6,7.0,1847916.0,23429092
"Prosper [OLD]
PROS",0.4543,1.1,8.7,4.0,3927584.0,23341262
"Cream
CREAM",10.06,0.4,0.9,2.2,3745161.0,23334583
"Forty Two DAO Token
FTD",1.45,2.0,20.9,10.1,57588.11,23294007
"Swarm
BZZ",0.3679,0.2,3.2,0.3,1528260.0,23274534
"LiquidLaunch
LIQD",0.03478,1.2,30.6,10.5,2499138.0,23274350
"SideShift
XAI",0.1602,0.1,0.5,5.1,19732.91,23252489
"Doge Killer
LEASH",215.77,0.6,3.1,12.6,657297.0,23239229
"MixMarvel
MIX",0.00252,1.9,10.1,63.4,19355895.0,23199100
"Foxsy AI
FOXSY",0.05655,0.1,0.1,8.9,1081188.0,23073823
"Fracton Protocol
FT",0.2633,0.3,0.5,6.0,2205507.0,23028550
"VIDT DAO
VIDT",0.02729,0.0,2.6,3.7,5243323.0,22989199
"Kasta
KASTA",0.03019,3.0,37.1,44.9,1243116.0,22983845
"Seamless Protocol
SEAM",0.7117,0.3,3.0,9.5,578396.0,22905295
"Cornucopias
COPI",0.02385,0.4,4.0,6.1,243619.0,22896594
"Savings crvUSD
SCRVUSD",1.04,0.1,0.0,0.5,1235585.0,22890280
"Gnosis xDai Bridged WETH (Gnosis Chain)
WETH",3324.91,0.2,0.6,1.0,155412.0,22847199
"Electronic USD
EUSD",1.0,0.0,0.1,0.2,675554.0,22683932
"MileVerse
MVC",0.008297,9.7,48.4,63.2,96230082.0,22628312
"mfercoin
MFER",0.02273,5.8,64.6,67.9,7315973.0,22526407
"Coinweb
CWEB",0.003865,2.1,3.2,0.3,85015.15,22489154
"Genopets
GENE",0.3021,0.0,4.8,7.3,264874.0,22475878
"Bridged USD Coin (Linea)
USDC",0.9993,0.1,0.0,0.6,5660231.0,22449792
"BOTIFY
BOTIFY",0.02258,2.4,4.0,9.7,3902154.0,22428881
"PeiPei
PEIPEI",0.075313,0.1,4.6,17.5,2142351.0,22405862
"We Love Tits
TITS",0.02232,3.5,12.9,43.3,547387.0,22307290
"Planet IX
IXT",0.1729,0.7,0.3,5.4,20347.29,22300305
"TriasLab
TRIAS",2.23,1.8,3.7,17.5,363811.0,22294897
"HyperGPT
HGPT",0.03321,1.4,1.3,11.9,2013571.0,22263447
"LIMBO
LIMBO",0.02251,4.0,23.5,63.9,2190938.0,22145077
"Seraph
SERAPH",0.1978,2.5,7.2,26.1,28180504.0,22140812
"BreederDAO
BREED",0.157,,,,42114.78,24140954
"Aventus
AVT",2.35,4.2,0.9,1.6,551351.0,22039269
"Ethervista
VISTA",23.24,0.8,6.0,20.3,2275067.0,21999129
"Polytrade
TRADE",0.5338,2.3,6.6,11.3,428700.0,21835971
"AION 5100
AION",1.03,7.9,15.8,37.7,326808.0,21703222
"DeFi Pulse Index
DPI",134.16,0.2,2.0,4.3,36892.32,21653629
"Bluzelle
BLZ",0.04762,1.6,1.9,11.4,2058658.0,21642546
"PIVX
PIVX",0.241,0.7,2.1,5.7,2262043.0,21630585
"Evercraft Ecotechnologies
ECET",0.03121,0.6,0.6,38.7,423473.0,21521542
"LayerAI
LAI",0.009299,2.9,0.6,12.0,2828309.0,21527014
"Jackal Protocol
JKL",0.1853,0.2,1.0,0.8,46767.26,21487986
"Relend USDC
REUSDC",1.03,0.1,0.0,0.2,0.0,21477001
"REVOX
REX",0.02386,0.5,2.2,17.8,12649523.0,21452535
"Spectra
SPECTRA",0.083,5.5,22.5,28.9,437551.0,21444539
"GATSBY
GATSBY",0.3719,4.1,6.9,46.9,227904.0,21422933
"Stride Staked DYDX
STDYDX",1.01,21.2,20.3,28.2,1521.6,21403773
"mini
MINI",0.02442,0.8,10.9,2.1,2142442.0,21384040
"BitMEX
BMEX",0.2147,0.3,1.4,34.7,10466.69,21367564
"Fantom Bomb
BOMB",0.04308,0.2,2.1,10.4,55363.19,21336872
"SpaceChain (ERC-20)
SPC",0.0525,0.2,1.7,72.8,9156.43,21332384
"Stronghold Staked SOL
STRONGSOL",273.81,0.5,0.4,5.3,9317.76,21301983
"Galeon
GALEON",0.02916,0.2,0.6,0.2,279075.0,21287141
"Sharpe AI
SAI",0.08107,1.0,16.1,0.7,2623711.0,21281415
"Micro GPT
$MICRO",0.02128,1.4,52.0,20.3,7374761.0,21276490
"Mango
MNGO",0.01903,1.3,4.8,13.2,34247.86,21271651
"Hawk
HAWK",0.0002772,0.5,12.4,6.6,73780.65,21265713
"Sceptre Staked FLR
SFLR",0.03253,0.8,2.2,6.8,123757.0,21233160
"Aleph.im
ALEPH",0.1135,0.1,0.4,11.8,273344.0,21173048
"Hegic
HEGIC",0.01964,0.3,3.5,6.6,60010.41,21165199
"AirDAO
AMB",0.006241,0.6,2.3,6.9,832995.0,21160189
"Alpaca Finance
ALPACA",0.1401,0.5,1.2,10.1,3352094.0,21130622
"NUMBER
$NUMBER",0.02126,1.7,0.2,8.9,253266.0,21062673
"METAVERSE
METAV",0.02102,2.6,4.0,16.1,836905.0,21026961
"Tenset
10SET",0.1257,0.0,0.1,14.6,2076438.0,21023644
"PlayDapp
PDA",0.03449,1.2,2.6,8.7,5996948.0,20998957
"She Rises
AKA",0.02083,0.4,14.0,17.3,2685084.0,20992702
"AnonFi
ANON",0.01882,,,,24453.13,20704849
"World of Dypians
WOD",0.175,0.3,2.0,12.6,550172.0,20918660
"Coupon Assets
CA",1.14,0.2,8.1,5.1,4619184.0,20914552
"Token Metrics AI
TMAI",0.003473,1.8,6.1,25.2,224104.0,20895363
"Nodecoin
NC",0.1092,1.7,2.2,26.8,9964210.0,20869168
"LEA AI
LEA",0.02145,0.5,42.2,176.4,6734496.0,20865489
"ChompCoin
CHOMP",0.2225,5.8,74.5,91.7,1397348.0,20847501
"BFG Token
BFG",0.02263,0.0,0.2,0.9,36181.82,20790230
"VeBetterDAO
B3TR",0.3291,0.3,3.9,57.9,60567.21,20774077
"WeatherXM
WXM",0.3458,0.3,0.1,5.8,77037.79,20745642
"Chain-key Bitcoin
CKBTC",103912.0,1.2,1.4,1.2,10902.31,20729883
"PYTHIA
PYTHIA",0.02078,1.3,9.8,53.7,2066139.0,20730059
"Aventis AI
AAI",0.05338,0.4,0.7,30.9,63.96,20710982
"TAOCat by Virtuals
TAOCAT",0.02073,9.4,49.8,16.6,16209121.0,20709280
"Joe Coin
JOE",0.02065,0.4,9.4,16.9,1994230.0,20650063
"Phoenix Global [OLD]
PHB",0.006093,0.0,0.9,11.8,18.54,20634612
"Prefrontal Cortex Convo Agent by Virtuals
CONVO",0.02064,3.8,12.4,41.7,662099.0,20634127
"Dream Machine Token
DMT",20.71,4.0,8.1,23.2,704650.0,20597263
"COCA
COCA",0.1813,0.3,0.8,3.8,716827.0,20582792
"Heroes of Mavia
MAVIA",0.6494,0.5,3.1,17.0,4955027.0,20461831
"HUMAN Protocol
HMT",0.02728,0.5,1.5,10.5,22009.84,20445666
"Vita Inu
VINU",0.072268,2.7,4.1,18.6,6006833.0,20436742
"Strawberry AI
BERRY",0.2039,1.9,1.5,5.7,181517.0,20405503
"KILT Protocol
KILT",0.1409,0.1,0.1,3.1,13342.21,20382215
"Guild of Guardians
GOG",0.02944,1.4,3.1,2.1,219175.0,20350177
"FXN
FXN",0.02256,2.4,6.8,40.5,2543296.0,20337670
"Counterparty
XCP",7.84,0.2,1.1,0.7,2927.56,20321962
"Dotcom
Y2K",0.0207,0.8,19.6,6.4,1889904.0,20287740
"IMO
IMO",1.82,0.1,2.8,4.9,15411.8,20266259
"Book of Ethereum
BOOE",0.2025,0.2,4.9,0.4,157530.0,20247753
"GT Protocol
GTAI",0.499,0.2,1.0,13.6,2923427.0,20243627
"DexNet
DEXNET",0.05052,0.1,0.6,5.1,87939.04,20207321
"NuNet
NTX",0.02845,0.5,1.7,19.6,137029.0,20177754
"pSTAKE Finance
PSTAKE",0.04027,0.8,1.9,0.8,1212589.0,20146081
"sUSD
SUSD",0.9911,0.1,0.7,0.7,155632.0,20133852
"neur.sh
NEUR",0.02229,0.5,12.6,28.1,7596251.0,20117484
"Happy Cat
HAPPY",0.006121,2.1,34.2,19.6,17834535.0,20116332
"AEROBUD
AEROBUD",0.02011,11.0,14.0,25.6,119006.0,20109135
"Spore
SPORE",0.02004,0.5,5.3,19.2,3423893.0,20049742
"NFTX
NFTX",47.62,0.2,1.0,4.7,39979.98,19999744
"Aki Network
AKI",0.01179,1.9,4.0,20.2,59376.18,19986059
"Soul Graph
GRPH",0.02014,0.0,10.0,48.5,7586334.0,19978573
"Santos FC Fan Token
SANTOS",2.96,0.0,2.6,1.5,2713650.0,19957697
"Asymmetry Finance
ASF",2.41,0.5,10.7,7.3,495044.0,19960026
"Paris Saint-Germain Fan Token
PSG",2.7,0.2,0.0,8.2,2695405.0,19947841
"GOUT
GOUT",0.0001274,1.0,6.3,39.2,731518.0,19947398
"MOOxMOO
MOOX",0.1511,0.1,0.2,0.3,72815.12,19942005
"Pirate Nation Token
PIRATE",0.09121,3.9,7.6,32.2,3504673.0,19890845
"THORSwap
THOR",0.1008,0.6,12.4,10.5,488743.0,19854036
"Nuvola Digital
NVL",1.18,0.0,1.2,4.5,46693.09,19799148
"EURA
EURA",1.05,0.0,0.1,0.9,475342.0,19771774
"Propbase
PROPS",0.05132,0.6,0.8,18.2,1187083.0,19752719
"GME
GME",0.00285,0.1,6.8,7.4,5363770.0,19617560
"DeFi
DEFI",0.06118,15.9,45.0,84.6,9612293.0,19578936
"Cratos
CRTS",0.000311,6.9,10.3,17.7,7157483.0,19551187
"KRYLL
KRL",0.5089,0.1,1.1,8.8,161027.0,19498769
"Sturdy
STRDY",1.03,1.2,9.2,22.0,185213.0,19489718
"MaidSafeCoin
EMAID",0.4749,1.1,3.5,3.4,104425.0,19445762
"zKML
ZKML",0.2015,0.8,5.4,2.5,96679.15,19426495
"TROY
TROY",0.001947,1.5,0.8,15.7,9098249.0,19429089
"Kolin
KOLIN",0.01942,0.1,14.1,42.8,1594386.0,19418592
"Avalaunch
XAVA",0.514,1.1,1.8,6.4,287620.0,19378706
"Vaiot
VAI",0.05439,0.4,1.3,14.2,516568.0,19371162
"STEPN Green Satoshi Token on Solana
GST-SOL",0.01689,3.0,4.3,16.4,9178455.0,19368349
"OSMI
OSMI",0.2274,0.2,1.6,1.2,16559.7,19369496
"Bitrue Coin
BTR",0.05795,0.4,0.5,2.9,9262476.0,19366181
"sETH2
SETH2",3304.66,0.2,0.2,1.5,12937.42,19290164
"Degen Spartan AI
DEGENAI",0.01928,1.1,8.9,43.0,4459445.0,19274768
"LAOS Network
LAOS",0.0601,0.7,0.8,10.0,1556.8,19206338
"GenomesDAO GENOME
GENOME",0.01916,0.3,1.5,19.9,28711.27,19167872
"Aura Finance
AURA",0.386,0.6,2.8,6.7,6557.27,19161892
"AlphaArc
ALPHA",0.01921,4.6,5.6,52.0,976554.0,19142980
"Bridged USDC (Base)
USDBC",1.0,0.1,0.2,0.3,12778825.0,19141429
"OPEN Ticketing Ecosystem
OPN",0.0008348,2.1,0.9,20.5,8408.22,19133758
"Volt Inu
VOLT",0.063072,0.3,1.1,4.4,100426.0,19129416
"AGIXBT by Virtuals
AGIXBT",0.01912,9.0,22.6,217.4,804596.0,19115203
"Giko Cat
GIKO",1.91,1.7,7.2,36.7,651843.0,19061882
"KEKE Terminal
KEKE",0.01917,0.4,12.5,4.4,836235.0,19049068
"GOLDAO
GOLDAO",0.02713,0.5,3.6,12.4,1932.89,19012421
"Camelot Token
GRAIL",901.54,0.3,6.5,22.2,915026.0,18886335
"MakerDAO Optimism Bridged DAI (Optimism)
DAI",0.9991,0.2,0.1,0.1,581656.0,18854613
"Router Protocol
ROUTE",0.03138,0.4,2.1,6.1,1819975.0,18782888
"Freya by Virtuals
FREYA",0.02822,2.8,9.3,51.9,531191.0,18750116
"Tensorplex Staked TAO
STTAO",480.36,1.6,16.8,6.9,88393.07,18701495
"TrustSwap
SWAP",0.1862,3.2,9.1,5.7,5747997.0,18614636
"LinqAI
LNQ",0.09589,0.4,2.6,10.9,165817.0,18579529
"League of Kingdoms
LOKA",0.1609,0.5,0.8,13.9,4730030.0,18541700
"Cakepie
CKP",4.84,0.1,0.2,10.3,1348016.0,18503072
"GammaSwap
GS",0.1036,1.2,0.4,8.9,27069.83,18492668
"Alien Base
ALB",0.1323,3.7,7.8,3.1,690482.0,18487235
"Kolwai
KWAII",0.0185,2.5,0.6,,508921.0,18483704
"Helium IOT
IOT",0.0005901,0.9,0.4,27.4,50781.34,18474721
"Fluence
FLT",0.2036,2.2,6.3,8.2,365563.0,18463928
"Orby Network USC Stablecoin
USC",0.9987,0.0,0.1,2.1,51291.88,18445121
"ZUSD
ZUSD",0.9962,0.0,3.6,0.2,100.79,18435748
"KONDUX
KNDX",0.03364,0.5,1.8,0.1,39373.05,18429642
"TOPIA
TOPIA",0.01427,0.1,2.0,20.5,110296.0,18380777
"Autonomous Virtual Beings
AVB",0.01837,1.3,6.0,12.7,2587263.0,18344605
"Aragon
ANT",0.4574,0.7,8.2,31.0,3528.83,18313719
"Index Cooperative
INDEX",2.71,0.1,3.4,8.3,259681.0,18300620
"Arc
ARC",0.01884,0.7,9.6,25.8,247356.0,18276244
"XSwap
XSWAP",0.1152,2.1,5.6,42.6,177512.0,18260221
"Hege
HEGE",0.01828,1.7,4.8,18.9,482310.0,18230484
"Bellscoin
BELLS",0.3101,1.0,15.9,14.3,394743.0,18156873
"Octopus Network
OCT",0.1802,0.0,1.7,5.6,87824.69,18018182
"Lumo-8B-Instruct
LUMO",0.01795,5.5,41.0,,10913207.0,17988051
"Sensay
SNSY",0.003839,0.7,5.2,19.7,616022.0,17978644
"Rupiah Token
IDRT",6.174e-05,0.0,0.4,1.0,3449.89,17970982
"BXN
BXN",0.002599,0.1,2.4,31.7,375450.0,17903471
"Bedrock BTC
BRBTC",98261.02,,0.3,6.0,29.25,17900515
"Nuklai
NAI",0.005106,1.2,4.2,25.8,273587.0,17812680
"Kava Lend
HARD",0.1316,0.5,0.9,6.7,1923478.0,17761894
"PepeFork
PORK",0.075358,3.7,5.9,11.3,1161039.0,17753181
"Altered State Machine
ASTO",0.02194,0.1,4.5,15.5,519980.0,17748877
"AirSwap
AST",0.08563,0.7,0.3,6.6,4707303.0,17749337
"Decubate
DCB",0.04171,0.2,0.6,14.1,190826.0,17710251
"Liquid Mercury
MERC",0.008578,0.1,0.4,8.2,19272.06,17667268
"FC Barcelona Fan Token
BAR",1.89,0.3,0.2,1.9,1358405.0,17643292
"Yelay
YLAY",0.02558,1.2,3.4,15.2,25461.6,17626866
"Velas
VLX",0.006548,1.0,1.8,21.3,81999.04,17614777
"Cellframe
CELL",0.6063,0.9,2.4,1.6,935041.0,17601700
"Wrapped Ampleforth
WAMPL",17.09,0.3,2.1,11.4,93453.73,17593716
"lmeow
LMEOW",0.01758,1.4,1.2,27.2,221318.0,17580887
"Adappter
ADP",0.004652,5.3,5.3,172.0,62088338.0,17516675
"Huobi BTC
HBTC",18058.25,0.2,3.6,26.8,247.98,17507238
"Cryptex Finance
CTX",2.4,1.3,4.4,5.8,171937.0,17466697
"Silo Finance
SILO",0.04921,1.6,0.9,0.1,59897.58,17407805
"Cere Network
CERE",0.002605,1.0,0.6,5.0,281822.0,17315563
"GraphLinq Chain
GLQ",0.05078,0.7,1.6,3.5,590156.0,17280848
"Matr1x
MAX",0.1321,0.6,3.8,3.0,17187842.0,17231825
"PHNIX
PHNIX",3.248e-05,0.7,2.2,25.7,1266454.0,17235595
"Diamond Launch
DLC",0.1785,0.1,0.1,0.3,60371.66,17161684
"Diamond Launch
DLC",0.1785,0.1,0.1,0.4,60370.33,17161684
"SquidGrow
SQGROW",0.01713,0.6,11.4,8.1,257345.0,17125189
"WaterNeuron
WTN",0.1464,0.6,2.2,21.5,5814.08,17072756
"AgentTank
TANK",0.01735,5.7,8.7,32.3,3386265.0,17038585
"Stratos
STOS",0.257,0.4,0.4,12.7,244163.0,17026742
"ether.fi Staked EIGEN
EEIGEN",2.8,0.6,2.0,6.3,11794.76,16965117
"HashPack
PACK",0.04886,0.4,1.8,0.7,250528.0,16952831
"STARS
STARS",0.0004037,1.7,20.3,69.2,536178.0,16934123
"uTON
UTON",4.99,0.2,1.4,0.7,259.57,16910650
"Matr1x Fire
FIRE",0.2575,1.3,10.5,1.4,3642343.0,16910933
"LumiWave
LWA",0.02188,0.5,0.3,5.4,2118127.0,16896912
"Aarma
ARMA",2.95,,,,27.84,16753904
"Project89
PROJECT89",0.01678,2.6,4.2,16.8,1734458.0,16770185
"PunkCity
PUNK",0.4451,6.8,3.1,10.7,11875.02,16774284
"Artyfact
ARTY",0.7829,0.7,3.6,1.3,5450207.0,16769010
"MusmeCoin
MSM",0.006695,0.1,0.8,16.9,113966.0,16723324
"iMe Lab
LIME",0.03852,0.9,0.1,11.6,439711.0,16666772
"Koinos
KOIN",0.2043,1.3,3.1,5.4,19235.98,16612394
"the Soldog
LAIKA",1.655e-05,0.7,2.7,22.4,435529.0,16546561
"OG Fan Token
OG",4.01,0.4,0.9,10.1,5793156.0,16537681
"Daydreams
DREAMS",0.01939,1.9,3.1,,2785240.0,16518414
"""　""
""　""",0.02607,1.9,12.1,27.7,2222605.0,16503717
"Miracle Play
MPT",0.02033,0.1,0.2,2.3,736006.0,16464987
"Carrot
CRT",106.37,0.2,0.2,0.7,49149.34,16446472
"AVC
AVC",0.005069,0.3,5.8,12.1,507366.0,16428436
"FLEX Coin
FLEX",0.1841,,,,15.39,18162976
"MATES
MATES",0.007267,6.6,16.7,13.9,1243759.0,16369453
"Veno Finance
VNO",0.03272,0.6,1.5,0.9,17275.85,16364809
"flexUSD
FLEXUSD",0.09798,,,,0.4521,16298708
"Mother Iggy
MOTHER",0.01633,0.4,0.8,33.4,4394200.0,16138604
"Divi
DIVI",0.003857,0.0,3.4,17.1,149239.0,16126472
"STON
STON",3.53,0.0,0.8,3.1,90681.86,16103361
"Coinmetro
XCM",0.05327,0.1,11.3,17.4,51642.96,16098869
"PINO
PINO",0.01622,0.9,0.3,12.0,217891.0,16048403
"KOALA AI
KOKO",0.051697,1.3,5.1,13.9,354839.0,15990167
"Tsotchke
TSOTCHKE",0.0169,3.0,6.4,1.9,1736253.0,15974959
"Holdstation
HOLD",2.02,1.6,4.6,11.5,1340727.0,15962734
"AIOS Foundation
AIOS",0.04818,2.2,20.3,48.7,5904307.0,15951686
"BankrCoin
BNKR",0.0001559,1.5,7.8,19.3,307360.0,15852418
"KYVE Network
KYVE",0.0197,0.7,1.0,4.1,20250.61,15838887
"FRIC
FRIC",0.01583,5.8,12.7,75.8,3469625.0,15824468
"Galaxia
GXA",0.005369,0.0,2.3,22.9,11124.67,15807444
"Equilibria Finance
EQB",0.4806,0.2,1.9,15.0,46998.25,15752631
"Colony
CLY",0.1397,1.9,5.9,12.7,56454.0,15721431
"Fulcrom
FUL",0.007813,1.0,0.1,9.3,28453.23,15718349
"Hex Trust USD
USDX",0.9983,,,,11.98,15695560
"Sovryn
SOV",0.2724,0.4,2.3,5.7,10041.68,15708832
"Spectra [OLD]
APW",1.63,0.1,26.5,29.2,33499.98,15705132
"dForce USD
USX",0.9971,0.0,0.9,0.0,51511.26,15677276
"Fidu
FIDU",0.3436,,,,167.31,15850241
"Index Coop - ETH 2x Flexible Leverage Index
ETH2X-FLI",19.4,,,,2534.53,15664203
"REGENT
REGENT",0.01519,9.0,57.7,,22114771.0,15654873
